index,sentence,year,label,orig_index,pred,score,pred_0,pred_1,pred_2,source
1038,"They generally judged that risks to the growth outlook, including strains in global financial markets, were significant and tilted to the downside",1996,0,980,0,0.9898269176483154,1,0,0,train
310,"Further evidence that firms still have not fully adapted their operations to the latest state of technology also is provided in a recent study4 that attempts to measure the ""technological gap""--that is, the difference between the productivity of leading-edge capital and the average productivity embodied in the current capital stock.",2021,2,302,2,0.9992449283599854,0,0,1,train
146,"Inflation has continued to run below our longer-run objective, in part reflecting lower energy prices.",2012,0,141,0,0.9924396276473999,1,0,0,train
786,"Some members nonetheless referred to indications of increasing expenditures for various categories of high-tech equipment and software, and they noted that impetus to demand from a positive outcome in the war against Iraq should have a favorable effect on business capital spending, especially if it were accompanied by a rally in the stock market.",2013,2,743,2,0.9964480400085449,0,0,1,train
166,"Last year, we had 1.9 percent productivity, which is much higher.",2012,0,161,0,0.9965444207191467,1,0,0,train
312,"Furthermore, policymakers hoped that additional tools at their disposal--so-called incomes policies enforced by “jawboning,” guideposts, and price and wage controls--were ready to combat and control any resulting upcreep in inflation with minimal macroeconomic cost.",1998,1,304,1,0.9994029998779297,0,1,0,train
232,"Household mortgage debt was expected to expand at a reduced rate in the fourth quarter, reflecting softer home prices and declining home sales, as well as a tightening in credit conditions for some borrowers.",2001,0,223,0,0.9990851879119873,1,0,0,train
935,"To this end, the new statement conveys the Committee's judgment that, in order to anchor expectations at the 2 percent level consistent with price stability, it ""seeks to achieve inflation that averages 2 percent over time,"" andâ€”in the same sentenceâ€”that therefore ""following periods when inflation has been running persistently below 2 percent, appropriate monetary policy will likely aim to achieve inflation moderately above 2 percent for some time.""",2007,0,906,0,0.995663583278656,1,0,0,train
35,"And that, I think, does raise, raise the risk that high inflation will be more persistent.",2022,1,35,1,0.9995265007019043,0,1,0,train
1085,"While favorable financing would help to sustain the housing sector, members anticipated that any further impetus to growth from that sector was likely to be limited.",2002,2,1025,2,0.9995917677879333,0,0,1,train
452,"Instead, an upturn in foreign economic activity would depend more on recovery in the United States.",2020,2,431,2,0.9995985627174377,0,0,1,train
712,Such departures of expectations from perfect rationality can be an important source of observed inflation dynamics.,2004,2,691,2,0.9857490658760071,0,0,1,train
794,The high oil prices would themselves cut into demand growth and tend to stabilize the system.,1997,1,771,1,0.999370276927948,0,1,0,train
263,There was a lot of pent-up demand.,2015,2,258,2,0.5363575220108032,0,0,1,train
892,"This observation raises the question of why, in some cases, the putative productivity benefits of investments in new technologies do not occur until years after those investments are made.",2006,2,865,2,0.9997648596763611,0,0,1,train
1078,"When the Committee decides to begin to remove policy accommodation, it will take a balanced approach consistent with its longer-run goals of maximum employment and inflation of 2 percent. """,2009,1,1018,1,0.9983012080192566,0,1,0,train
354,"In that regard, the prospective strength of demand pressures and related outlook for productivity were subject to a wide range of uncertainty, and there were reasons to believe that economic growth could well slow without any adjustment to policy.",1997,0,339,0,0.9991888403892517,1,0,0,train
214,So we do say that risks to the financial system—we say in our longer-run statement of goals and monetary policy strategy that risks to the financial system that could prevent us from achieving our goals are something that we do take into consideration.,2021,2,209,2,0.9997480511665344,0,0,1,train
788,The first question is whether the degree of easing implemented in response to financial market turbulence and the abrupt downward revision in the forecast should be reassessed in light of the subsequent improvement in financial conditions and the continued robustness of domestic demand.,2004,1,765,1,0.9990041851997375,0,1,0,train
36,And that’s because of this misalignment between supply and demand.,2022,2,36,2,0.9996620416641235,0,0,1,train
1057,Those indicators were mixed regarding the pace of economic activity within the manufacturing sector.,2000,2,997,2,0.9997954964637756,0,0,1,train
24,"A particular phenomenon that touches on all these issues is the movement of asset prices, especially the prices of equities and residential real estate.",2004,2,23,2,0.999760091304779,0,0,1,train
695,"So, up until the first week of October 2021, the story of high inflation being temporary was holding up, and the labor market improvements had slowed but were continuing.",2022,2,674,2,0.9994170665740967,0,0,1,train
204,"Fiscal policy was expected to be somewhat less expansionary next year, though still an important contributor to economic growth.",2002,2,195,2,0.9997439980506897,0,0,1,train
211,"So the—the sooner we get the virus under control, the sooner people can regain that confidence and regain their economic activity.",2021,2,206,0,0.7151193022727966,1,0,0,train
201,"Financial factors also seemed likely on balance to accommodate continuing growth in consumer spending, in particular the marked increases that had occurred in the value of stock holdings and a still-ample availability of credit to most households.",2014,2,192,2,0.9996790885925293,0,0,1,train
951,"Under these circumstances, policymakers must be cognizant of the shortcomings of our published price indexes to avoid misguided actions that will provoke unintended consequences.",2000,2,922,2,0.9998385906219482,0,0,1,train
291,We have not seen wage growth pick up.,2020,2,284,2,0.9799975156784058,0,0,1,train
566,"Moreover, it was difficult to anticipate how much the higher food and energy prices might affect inflation expectations and wage demands and thereby potentially become embedded more generally in the price structure.",2019,1,537,1,0.9990235567092896,0,1,0,train
266,"Flexible inflation averaging would bring some of the benefits of a formal average-inflation-targeting rule, but it could be more robust and simpler to communicate and implement.",1996,2,261,2,0.9997329115867615,0,0,1,train
1021,"These included a decline in the cost of business capital, a recent rise in orders and backlogs of nondefense capital goods, persisting gains in productivity that undoubtedly pointed to growing profit opportunities, progress in strengthening business balance sheets, and reduced capital overhangs.",2020,1,963,1,0.9989763498306274,0,1,0,train
311,"Furthermore, in the latest report, FOMC participants indicated that the current degree of uncertainty about GDP growth is even higher than the typical level of uncertainty over the past two decades.",1998,2,303,2,0.9971177577972412,0,0,1,train
106,"For example, one—in the long-run, the size of the balance sheet is going to depend on the public’s demand for our liabilities, including currency and reserves.",2021,2,102,2,0.999734103679657,0,0,1,train
736,"Recent declines in payroll employment and industrial production, while still sizable, were smaller than those registered earlier in 2009.",2007,0,697,0,0.995917022228241,1,0,0,train
76,"And, of course, despite the improvements seen in the May jobs report, the unemployment rate, at 13.3 percent, remains historically high.",2006,0,75,0,0.9975696206092834,1,0,0,train
250,"However, equity prices subsequently retraced some of the earlier declines as concerns about trade policy seemed to ease and corporate earnings reports for the first quarter of 2018 generally came in stronger than expected.",2007,2,241,2,0.982584536075592,0,0,1,train
51,"Although inflation remained remarkably subdued and any increase in inflationary pressures likely would tend to emerge only slowly, the strength in demand had developed against the backdrop of financial conditions that, broadly considered, were not substantially different from those now prevailing.",2005,0,51,0,0.9989867806434631,1,0,0,train
164,"But strong demand and a very tight labor market have also contributed to inflation pressures, and the FOMC can help alleviate those pressures by removing the extraordinary monetary policy accommodation that is no longer needed.",1997,1,162,1,0.9995806813240051,0,1,0,train
528,"Measures of longer-term inflation expectations edged up in early January, but remained lower than they had been in all but the last few weeks of 2008.",2006,1,499,0,0.9849196672439575,1,0,0,train
124,I would describe some measures of wage growth as having moved up some.,2015,2,119,2,0.9994434714317322,0,0,1,train
129,"If we don’t see the improvement that’s projected in the baseline outlook, that the June 18, 2014 opposite would be true and the pace of the timing and pace of interest rate increases would be Chair Yellen’s Press Conference FINAL later and more gradual.",2016,2,124,2,0.9991662502288818,0,0,1,train
268,"These measures, along with our strong guidance on interest rates and on our balance sheet, will ensure that monetary policy will continue to support the economy until the recovery is complete.",2022,0,263,0,0.9982020854949951,1,0,0,train
539,Many have observed the rise in the real federal funds rate to a level well above its historical average and concluded that monetary policy is currently restrictive.,2021,1,521,1,0.9994654059410095,0,1,0,train
420,"In fact, applying a formal regression analysis to the full sample from 1989 to 2002, we found a number fairly close to this one, namely, a stock price multiplier for monetary policy of about 4.7.",2022,2,407,2,0.9998570680618286,0,0,1,train
407,"In these circumstances, an easing at some point of current uncertainties and strengthening confidence should induce inventory rebuilding, with positive implications, at least for a time, for the expansion of economic activity.",2022,0,391,1,0.9874080419540405,0,1,0,train
573,"Moreover, survey data on labor market attitudes of both consumers and businesses had not signaled a significant deterioration in employment prospects.",2011,2,543,2,0.9972928166389465,0,0,1,train
898,"and special factors, including liquidity risk premiums, that might be influencing the pricing of Treasury Inflation-Protected Securities and inflation derivatives.",2009,2,849,2,0.9997567534446716,0,0,1,train
38,"Additionally, can one make any other generalizations concerning recessions that follow asset-price booms and busts and how they differ from other recessions?",2001,2,37,2,0.9985182881355286,0,0,1,train
978,"What I have elsewhere referred to as ""currency competition"" may be a driving force behind these changes in inflation outcomes and expectations and may be reflected in low nominal long-term interest rates and the flattening of yield curves.5 Iâ€™d like to briefly review what I mean by currency competition.",2022,0,949,0,0.9980475902557373,1,0,0,train
551,"Members who preferred to retain an asymmetrical directive agreed that, although there was little likelihood of a further policy change during the intermeeting period, such a directive was the best way to convey their concerns about the risks of rising inflation and the potential need for policy tightening over time.",1997,1,522,1,0.9992617964744568,0,1,0,train
156,"But in our new century, the simple notion of price has turned decidedly ambiguous.",2000,2,154,2,0.9997742772102356,0,0,1,train
643,One member anticipated little if any effect on economic growth and unemployment and did not agree that the outlook for economic activity and inflation called for further policy accommodation.,1999,2,610,2,0.9996870756149292,0,0,1,train
522,"Measures of core inflation remained much more subdued, although they also moved up in some countries.",2013,0,494,0,0.9880188703536987,1,0,0,train
956,"The recent depreciation of the dollar, while perhaps putting some upward pressure on prices, would damp the deterioration in net U. S. exports.",2011,1,903,0,0.9718913435935974,1,0,0,train
598,"Nonetheless, the leveling off in that disturbing trend is an encouraging sign of what we can achieve if we can maintain strong and flexible labor markets accompanied by low inflation.",2003,1,579,1,0.9991538524627686,0,1,0,train
827,"Survey-based measures of longer-run inflation expectations were little changed, on balance, in recent months,",2000,2,780,2,0.9978134632110596,0,0,1,train
816,"Stock prices in the basic materials and industrial sectors underperformed the broader market, reportedly reflecting an increase in trade tensions with China.",2002,2,771,2,0.9992092251777649,0,0,1,train
1128,"Yields on longer-term inflation-indexed Treasury securities, which are relatively illiquid, rose more sharply than did those on nominal securities.",2013,1,1066,1,0.9991176724433899,0,1,0,train
716,Table 2 Distribution of Employment and of Displaced Workers by Industry Category Industry Employment Displaced Workers Restructuring 23.1 42.2 Nonrestructuring 76.9 57.8 Total 100 100 Source: Displaced Worker Supplement to the CPS.,2005,2,695,2,0.9995284080505371,0,0,1,train
594,"Mr. Plosser noted that the Committee could not afford to wait until there was clear evidence that inflation expectations were no longer anchored, as by then it would be too late to prevent a further increase in inflation pressures.",2005,1,564,1,0.9994131326675415,0,1,0,train
659,Productivity and the equilibrium real interest rate.,2001,2,638,2,0.999858021736145,0,0,1,train
639,"Our test for this step was making ""substantial further progress"" toward our employment and inflation goals.",1997,2,618,2,0.9995637536048889,0,0,1,train
215,"So we view maximum employment as the maximum sustainable level of employment, meaning it’s not so much that it will cause the economy to overheat.",2019,2,210,2,0.9988967180252075,0,0,1,train
360,"In the Committee's discussion of possible adjustments to policy during the intermeeting period, members agreed that the retention of an asymmetric directive toward tightening was consistent with their view that the risks remained biased toward higher inflation.",2022,1,345,1,0.9994754195213318,0,1,0,train
489,"Indeed, the discrepancy between actual and predicted money growth was sufficiently large that the P* model, if not subjected to judgmental adjustments, would have predicted deflation for 1991 and 1992.",2021,2,473,2,0.9985790252685547,0,0,1,train
839,"in particular, the Fed's loss of credibility significantly increased the cost of achieving disinflation.",1999,1,815,1,0.9991798996925354,0,1,0,train
267,"Following the GFC, it took more than eight years for employment and inflation to return to similar mandate-consistent levels.",1996,2,262,2,0.9993100166320801,0,0,1,train
255,"The problem with the current situation is that, that if you have a sustained period of supply shocks, those can actually start to undermine or to work—to work on de-anchoring inflation expectations.",2012,1,250,1,0.9993034601211548,0,1,0,train
277,"However, the dollar partially retraced these increases following the much weaker-than-expected U. S. employment report for May, finishing the period a bit stronger against the currencies of the AFEs and about 3 percent higher against EME currencies.",1998,0,266,0,0.9965841770172119,1,0,0,train
74,"And, by the end of this year, I support having the policy rate at a level above neutral so that it is reducing demand for products and labor, bringing it more in line with supply and thus helping rein in inflation.",2000,1,73,1,0.9996060729026794,0,1,0,train
895,"The expansion in economic activity was anticipated to slowly reduce the slack in labor and product markets over the projection period, and progress in reducing the unemployment rate was expected to be gradual.",2009,0,846,0,0.9978634715080261,1,0,0,train
806,The number of black-owned firms increased nearly 50 percent and the number of Hispanic-owned firms jumped 80 percent between 1987 and 1992--between two and three times the rate of growth of non-minority-owned firms.,2022,2,783,2,0.9995373487472534,0,0,1,train
957,The recent information on inflation was seen as disappointing.,2011,2,904,0,0.9827358722686768,1,0,0,train
991,"While I will carefully monitor inflation expectations, it will be important to see a sustained improvement in actual inflation to meet our average inflation goal.",1999,0,962,0,0.9863246083259583,1,0,0,train
827,"The specific price-stability target of an inflation rate of 2 percent, as measured by the annual change in the price index for personal consumption expenditures, was announced as part of the Statement on Longer-Run Goals and Monetary Policy Strategy following the January 2012 Federal Open Market Committee (FOMC) meeting.",2001,2,804,2,0.9990769624710083,0,0,1,train
451,"In the absence of such a forward-looking response of long-term rates, short-term interest rates may have to move by more to achieve the same near-term impact on long-term interest rates and economic activity.",2000,2,438,2,0.9996914863586426,0,0,1,train
982,"The staff forecast prepared for this meeting continued to suggest that the expansion would gradually moderate from its currently elevated pace to a rate around, or perhaps a little below, the growth of the economy's estimated potential.",2019,2,926,1,0.9947600960731506,0,1,0,train
97,"But—so I would just say that our—that there are many things that go in, as you know, to, to setting asset prices.",2022,2,93,2,0.9997703433036804,0,0,1,train
145,"In the near term, 12-month measures of PCE inflation are expected to move above 2 percent as the very low readings from early in the pandemic fall out of the calculation and past increases in oil prices pass through to consumer energy prices.",2012,1,140,1,0.9972832202911377,0,1,0,train
76,and inflation rises slowly towards 2 percent.,2018,0,75,2,0.8498379588127136,0,0,1,train
218,"So you’re going to have different perspectives from Committee participants about how fast growth will be, how fast the labor market will heal, or how fast—sorry, inflation will move up.",2019,1,213,1,0.9994152784347534,0,1,0,train
969,The slowdown would reflect factors that were expected to damp the growth of overall business investment spending and a greater saturation of potential computer markets that might lead to more emphasis on replacement demand rather than the further expansion of capacity.,2000,0,915,0,0.9966021776199341,1,0,0,train
356,"In the Committee's discussion of current and prospective economic conditions, members focused on the disparate forces that continued to shape trends in economic activity, notably the persist- ence of considerable strength in private domestic spending and the damping influences stemming from foreign economic developments.",1997,2,341,2,0.9997079968452454,0,0,1,train
127,"I would say, in the area of commercial real estate, while valuations are high, we are seeing some tightening of lending standards and less debt growth associated with that rise in commercial real estate prices.",2016,1,122,1,0.9933539628982544,0,1,0,train
71,"Although the unemployment rate has declined somewhat since the summer, it remains elevated.",2017,0,71,0,0.9977982044219971,1,0,0,train
754,"The associated declines in wealth could amplify the effects on economic activity, which could have further knock-on effects on financial markets.",2006,0,732,0,0.9983083009719849,1,0,0,train
1004,"With gross retail margins amounting to about 30 percent of sales, a reduction in currently elevated margins could make an important contribution to reduced inflation pressures in consumer goods.",2000,1,975,1,0.9992178678512573,0,1,0,train
5,"Against this backdrop, today the Federal Open Market Committee raised its policy interest rate by ¾ percentage point and anticipates that ongoing increases in that rate will be appropriate.",2018,1,5,1,0.9991794228553772,0,1,0,train
1018,"There were more reports that rising wages and benefits and increasing costs of nonlabor inputs could no longer be fully offset by improvements in productivity, and more business firms appeared to be attempting or considering increases in their selling prices to maintain or improve their profit margins.",2020,1,960,1,0.9991987347602844,0,1,0,train
449,"In the United States, evaluating the effects on the economy of shifts in balance sheets and variations in asset prices have been an integral part of the development of monetary policy.",2022,2,436,2,0.9998358488082886,0,0,1,train
122,"I think the—you know, in a way, the least tight aspect of it is, is looking at the unemployment rate, which is still below our median estimate of, of [the unemployment rate consistent with] maximum employment.",2015,0,117,0,0.9978723526000977,1,0,0,train
698,"Participants' Views on Current Conditions and the Economic Outlook In conjunction with this FOMC meeting, participants submitted their projections of the most likely outcomes for real GDP growth, the unemployment rate, and inflation for each year from 2022 through 2024 and over the longer run based on their individual assessments of appropriate monetary policy, including the path of the federal funds rate.",2012,2,663,2,0.9998387098312378,0,0,1,train
1072,"Two noted the possibility that sustained high levels of long-term unemployment could result in higher structural unemployment, an outcome that might be forestalled by increased aggregate demand.",2015,0,1012,0,0.9972891807556152,1,0,0,train
417,"In view of the most recent information on the economy, members agreed that it was appropriate for the post-meeting statement to characterize economic growth as apparently continuing to moderate.",2008,2,400,2,0.998519241809845,0,0,1,train
142,"In real terms, with a 2 percent inflation objective—that’s 1 percent in real terms.",2013,0,137,2,0.9978861212730408,0,0,1,train
49,"Although inflation is ultimately a monetary phenomenon, it seems natural to expect, as others have argued, that these developments would have exerted some downward pressure on inflation in the United States.",2006,0,48,0,0.9977549910545349,1,0,0,train
472,"Largely as a consequence of rapidly expanding ""new economy"" investments, gains in productivity had occurred at remarkable rates in recent years.",2022,2,451,2,0.9988420605659485,0,0,1,train
275,We also do see the different measures of slack in the labor market point to different assessments of just what maximum employment is.,2021,2,269,2,0.9997569918632507,0,0,1,train
233,That should drive productivity.,2016,2,228,2,0.9997238516807556,0,0,1,train
699,"Participants' Views on Current Conditions and the Economic Outlook In their discussion of the economic situation and the outlook, meeting participants saw the information received over the intermeeting period as suggesting that labor market conditions had improved further in late 2015 even as economic growth slowed.",2012,2,664,2,0.9996542930603027,0,0,1,train
722,That interdependence suggests that monetary policy makers must pay attention to conditions abroad as well as at home.,2002,2,700,2,0.9998310804367065,0,0,1,train
57,"Although prospects for economic activity had not deteriorated significantly since the March meeting, the outlook for growth and employment remained weak and slack in resource utilization was likely to increase.",2000,0,57,0,0.9989598989486694,1,0,0,train
327,Higher inflation expectations would in turn lead workers to bargain for commensurate raises in nominal wages to preserve the real value of their earnings.,2021,1,318,1,0.9995867609977722,0,1,0,train
116,"I expect that to continue, and I would expect also to see some improvement in the degree of part-time employment that’s for economic reasons.",2019,0,111,0,0.9990330934524536,1,0,0,train
233,"Even before the recent unfortunate developments in the Middle East, demand to augment buffer stocks surged, which has helped to keep prices high.",2003,1,229,1,0.998725950717926,0,1,0,train
740,"Reinforcing this outlook was recent evidence of somewhat faster than anticipated productivity growth, the prospect that world economic conditions would hold down energy prices, and a sharp drop in near-term inflation expectations of households as reported in recent surveys.",2012,0,700,0,0.9965973496437073,1,0,0,train
432,"In particular, a surprise tightening of policy raises the risk premium, lowering current stock prices, and a surprise easing lowers the risk premium, raising current stock prices.",2021,2,419,0,0.5484565496444702,1,0,0,train
617,"On March 16, we launched a program to purchase Treasury securities and agency mortgage-backed securities in whatever amounts needed to support smooth market functioning, thereby fostering effective transmission of monetary policy to broader financial conditions.",2002,2,597,2,0.9994052648544312,0,0,1,train
385,"In their assessment of factors leading to this decision, the members focused on the further evidence that moderating demand and accelerating productivity were closing the gap between the growth of aggregate demand and potential supply, even before earlier Committee tightening actions had exerted their full restraining effects.",2014,1,370,1,0.9991095662117004,0,1,0,train
92,"But you do see growth in services, so you—this pattern around the world of Chair Powell’s Press Conference FINAL weak manufacturing",2014,2,88,2,0.9964045286178589,0,0,1,train
847,"The Committee expects that, with appropriate policy accommodation, economic activity will expand at a moderate pace, with labor market indicators continuing to move toward levels the Committee judges consistent with its dual mandate.",2001,0,798,0,0.998744010925293,1,0,0,train
68,"Although the pace of job losses was moderating, the unusually large fraction of those who were working part time for economic reasons and the unusually low level of the average workweek pointed to only a gradual decline in the unemployment rate as the economic recovery proceeded.",2018,0,68,0,0.9988056421279907,1,0,0,train
306,"as a result, headline PCE price inflation was expected to substantially exceed core PCE price inflation in 2008.",2017,2,291,2,0.999642014503479,0,0,1,train
152,It also affects stock prices.,2018,2,147,2,0.9998263716697693,0,0,1,train
182,"By the same token, the effect of the interest rate channel on overall economic activity may be diminished by greater trade integration as changes in domestic demand are offset by induced changes in imports.",1997,2,180,2,0.9998584985733032,0,0,1,train
681,"Participants generally expected that, over the medium term, real economic activity would increase at a pace sufficient to lead to a further gradual decline in the unemployment rate toward levels consistent with the Committee's objective of maximum employment.",2011,1,646,1,0.9987803101539612,0,1,0,train
202,So negative interest rates is something that we looked at during the financial crisis and chose not to do.,2019,2,197,2,0.9995137453079224,0,0,1,train
729,"as before, core inflation was projected to be quite subdued at rates below last year's pace.",2008,2,691,2,0.9996547698974609,0,0,1,train
916,"To achieve its mandated objectives, the FOMC must influence the course of the U.S. economy, helping it to grow rapidly enough to make full use of available resources but not so rapidly as to stoke inflation.",2022,0,888,0,0.9963465332984924,1,0,0,train
583,Most other interest rates in short-term markets were little changed over the period.,2021,2,553,2,0.9997901320457458,0,0,1,train
390,"In April, prices of core goods and services--that is, consumer prices excluding food and energy--were unchanged for a second month.",2020,2,378,2,0.9992504715919495,0,0,1,train
626,"Notwithstanding these developments, some participants cautioned that progress toward the Committee's inflation objective should not be overstated",2010,2,593,2,0.5384370684623718,0,0,1,train
990,"The staff viewed the extent of uncertainty around its March projections for real GDP growth, the unemployment rate, and inflation as similar to the average over the past 20 years.",1997,2,933,2,0.9998334646224976,0,0,1,train
759,Several participants commented that the factors that had contributed to low inflation during the previous expansion could again exert more downward pressure on inflation than expected.,2010,0,718,0,0.995233952999115,1,0,0,train
109,"At the same time, however, the near-term outlook for inflation had deteriorated, and the risks that underlying inflation pressures could prove to be greater than anticipated appeared to have risen.",2021,1,106,1,0.999487042427063,0,1,0,train
680,"Required down payments, usually about half of the home's purchase price, excluded many households from the market.",2020,2,659,2,0.9922926425933838,0,0,1,train
634,"Or the 1990s could be used as an illustration of how monetary policy could lower inflation, with concomitant gains in terms of full employment and long-term economic growth.",2002,1,613,1,0.9992326498031616,0,1,0,train
1084,"While bank lending continues to contract, financial market conditions remain supportive of economic growth.",2017,2,1024,2,0.9993234872817993,0,0,1,train
1115,"With regard to the outlook for inflation, members gave considerable attention to the somewhat faster increases in broad price measures over the past year,",2015,1,1053,1,0.9967150688171387,0,1,0,train
425,"Indeed, in the interest of fostering a continuation of sustainable growth of the economy, it would be desirable to tighten before any sign of actual higher inflation were to become evident.",2022,1,408,1,0.9995330572128296,0,1,0,train
1018,"With tight labor markets and little slack in product markets, we are led to conclude that significant persistent strength in the growth of nominal demand for goods and services, outstripping the likely rate of increase in capacity, will presumably be resisted by higher market interest rates.",2022,1,986,1,0.9992949962615967,0,1,0,train
965,"We include these types of price terms today in our forecasting equations, and they are important to forming our views of the inflation outlook and thus to the policy process.",2003,2,936,2,0.9996445178985596,0,0,1,train
720,"Rather, members agreed that inflation was likely to moderate in coming quarters,",2005,1,684,2,0.9986777901649475,0,0,1,train
714,"Private investors would have to hold more longer-term securities as the Federal Reserve's holdings ran off, making longer-term interest rates somewhat higher than they would be otherwise.",1996,1,678,1,0.9994866847991943,0,1,0,train
1061,"To some, the continued subdued trend in wages was evidence of an absence of upward pressure on inflation from current levels of labor utilization.",1998,0,1001,0,0.9848974347114563,1,0,0,train
1131,"” The vote encompassed approval of the text below for inclusion in the statement to be released at 2:15 p. m. : “In these circumstances, the Committee’s predominant policy concern remains the risk that inflation will fail to moderate as expected.",2013,1,1069,1,0.9987266659736633,0,1,0,train
179,"Of course, we’re ready to provide information that Congress needs to evaluate the Fed’s decisionmaking, in monetary policy and elsewhere.",2021,2,174,2,0.9997952580451965,0,0,1,train
569,"Moreover, most members saw substantial downside risks to the economic outlook and judged that a rate reduction at this meeting would provide valuable additional insurance against an unexpectedly severe weakening in economic activity.",2011,0,540,0,0.9985091090202332,1,0,0,train
199,"So it’s a serious economic problem for the United States, but it’s—it’s got underlying causes that are not related to monetary policy or to our response to the pandemic.",2016,2,194,0,0.9769964814186096,1,0,0,train
